,constructorId,constructorRef,name,nationality,url,img_urls
125,127,osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/OSCA_badge_-_Flickr_-_exfordy.jpg/220px-OSCA_badge_-_Flickr_-_exfordy.jpg
126,128,gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini,http://upload.wikimedia.org/wikipedia/en/thumb/5/53/Logo_of_Gordini.svg/240px-Logo_of_Gordini.svg.png
127,129,stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor),
128,130,bugatti,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti,http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Bugatti_logo.svg/220px-Bugatti_logo.svg.png
129,131,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Mercedes-Benz_in_Formula_One_logo.svg/220px-Mercedes-Benz_in_Formula_One_logo.svg.png
130,132,lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,
131,133,hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,
132,134,schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor),http://upload.wikimedia.org/wikipedia/en/1/10/Gordon_Schroeder_-_motorsport.jpg
133,135,pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor),
134,136,pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz,
135,137,arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini,http://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png
136,138,nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels,
137,139,bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme,
138,140,klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk,http://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/23px-Flag_of_Germany.svg.png
