Unnamed: 0.1,Unnamed: 0,circuitId,circuitRef,name,location,country,lat,lng,alt,url,img_urls
66,66,68,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,194,http://en.wikipedia.org/wiki/Buddh_International_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Buddh_International_Circuit.svg/220px-Buddh_International_Circuit.svg.png
67,67,69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Circuit_of_the_Americas_logo.svg/250px-Circuit_of_the_Americas_logo.svg.png
68,68,70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,http://en.wikipedia.org/wiki/Red_Bull_Ring,http://upload.wikimedia.org/wikipedia/en/thumb/8/86/Logo_for_Red_Bull_Ring.png/250px-Logo_for_Red_Bull_Ring.png
69,69,71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,http://en.wikipedia.org/wiki/Sochi_Autodrom,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Circuit_Sochi.svg/250px-Circuit_Sochi.svg.png
70,70,73,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,http://en.wikipedia.org/wiki/Baku_City_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Baku_Formula_One_circuit_map.svg/300px-Baku_Formula_One_circuit_map.svg.png
71,71,75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108,http://en.wikipedia.org/wiki/Algarve_International_Circuit,http://upload.wikimedia.org/wikipedia/en/thumb/6/64/Autodromoalgarve.svg/250px-Autodromoalgarve.svg.png
72,72,76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255,http://en.wikipedia.org/wiki/Mugello_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Mugello_Racing_Circuit_track_map_15_turns.svg/250px-Mugello_Racing_Circuit_track_map_15_turns.svg.png
73,73,77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Jeddah_Street_Circuit_2021.svg/250px-Jeddah_Street_Circuit_2021.svg.png
74,74,78,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,\N,http://en.wikipedia.org/wiki/Losail_International_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Lusail_International_Circuit_2023.svg/250px-Lusail_International_Circuit_2023.svg.png
75,75,79,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,\N,http://en.wikipedia.org/wiki/Miami_International_Autodrome,http://upload.wikimedia.org/wikipedia/en/thumb/4/45/Miami_International_Autodrome_Logo.png/220px-Miami_International_Autodrome_Logo.png
